month,year,ninety,seventyf,mean,twentyf,ten,count
1,1906,1.1,-1.675,-7.75,-10.55,-13.35,31
1,1978,-5,-6.675,-13.05,-21.4,-26.1,31
1,1975,-4.15,-6.55,-10.85,-13.725,-17.2,31
1,1937,-9.45,-15.95,-22.25,-23.475,-26.4,31
1,1904,-0.55,-3.625,-6.65,-8.35,-13.9,31
1,1940,0,-2.925,-9.45,-15.275,-20,31
1,1966,-2.75,-4.425,-10.85,-16.225,-21.65,31
1,1933,-3.05,-3.775,-4.7,-7.475,-10,31
1,1960,-1.4,-7.5,-10.8,-14.025,-15.85,31
1,1961,-0.3,-1.775,-5.25,-8.325,-11.1,31
1,2004,0,-1.5,-5.5,-18.25,-26.75,31
1,1922,-5,-6.65,-8.6,-11.975,-18.85,31
1,1888,1.65,1.65,1.65,1.65,1.65,1
1,1911,-3.35,-6.225,-11.1,-22.8,-36.1,31
1,2006,-0.5,-2.375,-4.5,-6.5,-7.5,31
1,1917,-2.8,-5.55,-7.75,-14.175,-21.7,31
1,2011,-12.5,-12.5,-12.5,-12.5,-12.5,1
1,1902,-0.55,-1.975,-6.65,-11.15,-19.45,31
1,1972,-7.5,-12.25,-15,-20.825,-27.75,31
1,1996,-0.275003,-6.8125,-16.125,-20.9375,-24.5,30
1,1946,-3.6,-4.45,-6.65,-10.425,-13.3,31
1,1967,-1.95,-4.025,-6.7,-9.575,-15,31
1,1894,-0.25,-5.275,-8.3,-14,-18.05,31
1,2001,-0.825003,-2.3125,-4.625,-6.5625,-7.5,30
1,1990,-1.25,-3.625,-6.5,-9,-14,31
1,1986,0.25,-0.5,-2.25,-7,-8,31
1,2005,2.25,1.25,-5.5,-19.375,-24,31
1,1907,-13.225,-19.0375,-21.675,-24.3125,-27.53,18
1,1949,-5.69,-8.625,-12.65,-21.45,-25,30
1,1962,2.25,-0.825,-6.4,-15.825,-21.65,31
1,1909,-2.2,-6.275,-10.6,-25.4,-30.55,31
1,1931,1.1,-1.1,-3.9,-5.4,-6.15,31
1,2008,-3.35,-4.375,-10.5,-12.75,-14,23
1,1899,0.85,-0.25,-3.9,-13.75,-21.7,31
1,1977,-2.8,-4.15,-6.4,-10.575,-15,31
1,1953,-1.9,-4.3,-7.75,-12.65,-21.4,31
1,1901,0,-3.35,-7.75,-14.45,-23.9,31
1,1895,-2.5,-3.9,-9.45,-15,-18.05,31
1,1890,-1.58,-2.75,-4.2,-5.85,-6,5
1,1968,2.8,-0.575,-9.75,-16.8,-21.4,31
1,1947,-1.95,-3.9,-7.2,-13.775,-23.35,31
1,1948,1.65,-2.925,-5,-8.475,-10.85,31
1,1965,0.25,-2.775,-9.45,-12.375,-21.95,31
1,2000,-3.75,-5.375,-9.25,-12.75,-15.25,31
1,1930,-8.05,-14,-20,-22.65,-26.1,31
1,2010,0.199997,-1.3125,-3.25,-7.375,-12.25,30
1,2002,-0.25,-3.875,-6.75,-9.625,-14,31
1,1992,0,-1.375,-3.5,-5.875,-7.25,31
1,1898,-2.5,-3.05,-5.6,-7.65,-9.45,31
1,1957,-10,-11.825,-18.9,-21.95,-25.55,31
1,1913,-2.25,-5.55,-10.85,-21.65,-26.1,31
1,1925,-3.6,-5.525,-7.5,-10,-11.4,31
1,1997,-1,-3,-6.25,-11.875,-16.5,31
1,2003,0,-0.875,-2.75,-6.375,-10.5,31
1,1989,-2.75,-4.375,-8,-11.625,-18,31
1,1893,1.95,0.125,-5,-15.95,-30.55,31
1,1971,0.25,-3.325,-8.05,-13.45,-24.75,31
1,1916,-13.35,-18.05,-23.9,-28.175,-30,31
1,1993,-2.25,-5,-12.5,-19.375,-22.25,31
1,1928,1.1,-0.95,-6.65,-9.45,-12.25,31
1,1892,-1.62,-5.55,-7.625,-11,-19.97,30
1,1923,-4.45,-6.775,-8.3,-13.325,-18.05,31
1,1964,-2.75,-5.4,-6.65,-8.75,-11.4,31
